country_name,top_quintile_frequency
Afghanistan,1.0
Angola,1.0
Burundi,1.0
"Congo, Dem. Rep.",1.0
Central African Republic,1.0
Sierra Leone,1.0
Uganda,1.0
Togo,1.0
Chad,1.0
South Sudan,1.0
Kenya,1.0
Liberia,1.0
Mozambique,1.0
Madagascar,1.0
Haiti,1.0
Guinea-Bissau,1.0
Guinea,1.0
Ethiopia,1.0
Nigeria,1.0
Niger,1.0
Sudan,1.0
"Yemen, Rep.",1.0
Zambia,1.0
Zimbabwe,1.0
Burkina Faso,0.992
Lesotho,0.985
Benin,0.976
Rwanda,0.934
Malawi,0.915
Papua New Guinea,0.902
"Congo, Rep.",0.868
Timor-Leste,0.857
Mali,0.787
Solomon Islands,0.689
"Gambia, The",0.652
Cameroon,0.603
Comoros,0.578
Pakistan,0.504
Eswatini,0.376
Namibia,0.352
Sao Tome and Principe,0.254
India,0.194
Ghana,0.136
Lao PDR,0.09
Vanuatu,0.073
Botswana,0.062
Senegal,0.055
Syrian Arab Republic,0.031
Cambodia,0.016
Bangladesh,0.009
Myanmar,0.008
Bhutan,0.008
Guatemala,0.008
Spain,0.0
Dominican Republic,0.0
"Egypt, Arab Rep.",0.0
Ecuador,0.0
Algeria,0.0
Germany,0.0
Cyprus,0.0
Cuba,0.0
Costa Rica,0.0
Cabo Verde,0.0
Colombia,0.0
China,0.0
Chile,0.0
Belarus,0.0
Belize,0.0
Canada,0.0
Switzerland,0.0
Bolivia,0.0
Brazil,0.0
Barbados,0.0
Brunei Darussalam,0.0
Bosnia and Herzegovina,0.0
Austria,0.0
Australia,0.0
Antigua and Barbuda,0.0
Belgium,0.0
Bulgaria,0.0
Bahrain,0.0
"Bahamas, The",0.0
Armenia,0.0
Argentina,0.0
United Arab Emirates,0.0
Albania,0.0
Azerbaijan,0.0
Denmark,0.0
Dominica,0.0
Djibouti,0.0
"Iran, Islamic Rep.",0.0
Japan,0.0
Jordan,0.0
Jamaica,0.0
Italy,0.0
Israel,0.0
Iceland,0.0
Iraq,0.0
Kazakhstan,0.0
"Hong Kong SAR, China",0.0
Croatia,0.0
Guyana,0.0
Hungary,0.0
Indonesia,0.0
Ireland,0.0
Honduras,0.0
Georgia,0.0
United Kingdom,0.0
Gabon,0.0
France,0.0
Fiji,0.0
Greece,0.0
Finland,0.0
Estonia,0.0
Mauritius,0.0
Mauritania,0.0
Mongolia,0.0
Montenegro,0.0
Malta,0.0
Mexico,0.0
Marshall Islands,0.0
North Macedonia,0.0
Moldova,0.0
Morocco,0.0
"Macao SAR, China",0.0
Maldives,0.0
Sri Lanka,0.0
Lithuania,0.0
Luxembourg,0.0
Latvia,0.0
Kyrgyz Republic,0.0
Kiribati,0.0
"Korea, Rep.",0.0
Lebanon,0.0
Libya,0.0
St. Lucia,0.0
Kuwait,0.0
Oman,0.0
Philippines,0.0
Peru,0.0
Panama,0.0
New Zealand,0.0
Norway,0.0
Nicaragua,0.0
New Caledonia,0.0
Malaysia,0.0
Serbia,0.0
El Salvador,0.0
Saudi Arabia,0.0
Singapore,0.0
French Polynesia,0.0
Qatar,0.0
Romania,0.0
Russian Federation,0.0
Portugal,0.0
Paraguay,0.0
Poland,0.0
Nepal,0.0
Seychelles,0.0
Sweden,0.0
Slovenia,0.0
Suriname,0.0
Tonga,0.0
Turkmenistan,0.0
Tajikistan,0.0
Thailand,0.0
Slovak Republic,0.0
Trinidad and Tobago,0.0
Tunisia,0.0
Tuvalu,0.0
Uzbekistan,0.0
United States,0.0
Uruguay,0.0
Ukraine,0.0
Samoa,0.0
"Venezuela, RB",0.0
St. Vincent and the Grenadines,0.0
South Africa,0.0
