country_name,region,income_group,year,n_imputed,availability,access,utilisation,score_equal,score_pca,score,rank_equal,rank_pca,rank,risk_band,cluster,cluster_name
Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2021,0,0.8498181250970323,0.6822332121425775,0.7569210314666673,0.762990789568759,0.7733380850391558,0.7681644373039573,23,27,24,High,1,Balanced cohort - no dominant bottleneck
Angola,Sub-Saharan Africa ,Lower middle income,2021,0,0.8572287833367835,0.9460260423597577,0.8881725454336135,0.8971424570433849,0.8914402201392518,0.8942913385913184,2,5,4,Severe,1,Balanced cohort - no dominant bottleneck
Albania,Europe & Central Asia,Upper middle income,2021,0,0.39126533848855055,0.5024162502291966,0.11907996468894667,0.33758718446889796,0.26700641178172896,0.30229679812531346,117,116,116,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2021,1,0.20680345572354214,0.0998478846693215,0.09028452835132367,0.13231195624806244,0.11667524763735757,0.12449360194271,168,158,164,Low,1,Balanced cohort - no dominant bottleneck
Argentina,Latin America & Caribbean ,Upper middle income,2021,2,0.323308668559984,0.6460385091625793,0.10086694101626197,0.3567380395796084,0.23826047390749336,0.2974992567435509,112,122,119,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
Armenia,Europe & Central Asia,Upper middle income,2021,0,0.6113907031547297,0.5857135119150886,0.1443057806769216,0.4471366652489133,0.32433090823163957,0.3857337867402765,87,102,95,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
Antigua and Barbuda,Latin America & Caribbean ,High income,2021,3,0.6028323532681786,0.31278064427607477,0.15461938978232054,0.356744129108858,0.26800572653990995,0.312374927824384,111,115,112,Moderate,0,"Availability-bottlenecked cohort (+0.22), relatively strong on utilisation (-0.13)"
Australia,East Asia & Pacific,High income,2021,0,0.45326779156227,0.06491894798570785,0.019304832624856442,0.17916385739094476,0.09448694801350936,0.13682540270222707,153,166,159,Low,0,"Availability-bottlenecked cohort (+0.22), relatively strong on utilisation (-0.13)"
Austria,Europe & Central Asia,High income,2021,1,0.08804812825472896,0.10809743525574206,0.06542235222298869,0.08718930524448658,0.0755192428904257,0.08135427406745614,174,171,173,Low,1,Balanced cohort - no dominant bottleneck
Azerbaijan,Europe & Central Asia,Upper middle income,2021,1,0.425801690850543,0.6107013669669082,0.23249805766419987,0.42300037182721706,0.3572385484108366,0.3901194601190268,95,90,94,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
Burundi,Sub-Saharan Africa ,Low income,2021,1,0.8859099967296168,0.8230664848929757,0.8592755730150082,0.8560840182125337,0.8717810131962864,0.86393251570441,10,7,8,Severe,1,Balanced cohort - no dominant bottleneck
Belgium,Europe & Central Asia,High income,2021,0,0.03608375311357481,0.09943666742978026,0.04428278370080432,0.05993440141471979,0.05245468119290739,0.056194541303813586,176,176,176,Low,1,Balanced cohort - no dominant bottleneck
Benin,Sub-Saharan Africa ,Lower middle income,2021,0,0.7114348792374893,0.5787365305337066,0.8713706095590709,0.7205140064434222,0.7976517818311682,0.7590828941372952,32,21,26,High,1,Balanced cohort - no dominant bottleneck
Burkina Faso,Sub-Saharan Africa ,Low income,2021,0,0.7751147354082115,0.6692653903382855,0.7906147945728225,0.7449983067731064,0.7799793127720657,0.762488809772586,29,24,25,High,1,Balanced cohort - no dominant bottleneck
Bangladesh,South Asia,Lower middle income,2021,0,0.5787871931507864,0.6450272328820519,0.5382404313994242,0.5873516191440875,0.5848386555484254,0.5860951373462564,49,47,49,Elevated,1,Balanced cohort - no dominant bottleneck
Bulgaria,Europe & Central Asia,High income,2021,0,0.4465656868955997,0.3530442806337665,0.19920447801990396,0.3329381485164234,0.27961758763383665,0.30627786807513,119,112,114,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2021,2,0.12580993520518363,0.18949155962611605,0.1074768766456321,0.14092612382564393,0.13536577994523116,0.13814595188543755,164,152,158,Low,1,Balanced cohort - no dominant bottleneck
"Bahamas, The",Latin America & Caribbean ,High income,2021,4,0.2462302656593059,0.22387161438571088,0.13674310743911025,0.202281662494709,0.1754409226406631,0.18886129256768605,150,143,148,Low,1,Balanced cohort - no dominant bottleneck
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2021,1,0.3845730815204007,0.42179014706405143,0.1801803268147315,0.3288478517997279,0.2785368397716322,0.30369234578568005,121,113,115,Moderate,2,"Access-bottlenecked cohort (+0.11), relatively strong on utilisation (-0.19)"
